ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,monthly,monthly_lower,monthly_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1981-01-01,18.919553131700777,11.549363012248602,18.66649095929305,18.919553131700777,18.919553131700777,-3.820482112035294,-3.820482112035294,-3.820482112035294,-7.08576303451584,-7.08576303451584,-7.08576303451584,-0.11328943668944888,-0.11328943668944888,-0.11328943668944888,0.0073464958327813966,0.0073464958327813966,0.0073464958327813966,3.371223863337213,3.371223863337213,3.371223863337213,0.0,0.0,0.0,15.099071019665484
1981-01-02,18.91779428060233,11.800541672258253,18.510597191869145,18.91779428060233,18.91779428060233,-3.6844482040005637,-3.6844482040005637,-3.6844482040005637,-7.08576303451584,-7.08576303451584,-7.08576303451584,-0.02745362517621109,-0.02745362517621109,-0.02745362517621109,-0.018207435533108732,-0.018207435533108732,-0.018207435533108732,3.446975891224596,3.446975891224596,3.446975891224596,0.0,0.0,0.0,15.233346076601766
1981-01-03,18.916035429503886,11.980594654330122,19.020309920355064,18.916035429503886,18.916035429503886,-3.5251662035294027,-3.5251662035294027,-3.5251662035294027,-7.08576303451584,-7.08576303451584,-7.08576303451584,0.09694328514452469,0.09694328514452469,0.09694328514452469,-0.05800461123840557,-0.05800461123840557,-0.05800461123840557,3.521658157080318,3.521658157080318,3.521658157080318,0.0,0.0,0.0,15.390869225974484
1981-01-04,18.91427657840544,11.656700700513667,18.905612619992752,18.91427657840544,18.91427657840544,-3.5445028498289175,-3.5445028498289175,-3.5445028498289175,-7.08576303451584,-7.08576303451584,-7.08576303451584,0.10394792409330326,0.10394792409330326,0.10394792409330326,-0.1567629505101677,-0.1567629505101677,-0.1567629505101677,3.5940752111037866,3.5940752111037866,3.5940752111037866,0.0,0.0,0.0,15.36977372857652
1981-01-05,18.91251772730699,11.902827960193193,18.949363266116706,18.91251772730699,18.91251772730699,-3.463131155437396,-3.463131155437396,-3.463131155437396,-7.08576303451584,-7.08576303451584,-7.08576303451584,-0.031563812392193184,-0.031563812392193184,-0.031563812392193184,-0.008870238139338857,-0.008870238139338857,-0.008870238139338857,3.663065929609977,3.663065929609977,3.663065929609977,0.0,0.0,0.0,15.449386571869596
1981-01-06,18.910758876208547,11.764588878716731,19.138709960910713,18.910758876208547,18.910758876208547,-3.4661788793797257,-3.4661788793797257,-3.4661788793797257,-7.08576303451584,-7.08576303451584,-7.08576303451584,-0.18199260505857892,-0.18199260505857892,-0.18199260505857892,0.07404030250372637,0.07404030250372637,0.07404030250372637,3.7275364576909675,3.7275364576909675,3.7275364576909675,0.0,0.0,0.0,15.444579996828821
1981-01-07,18.9090000251101,12.35429285639363,19.0827278804558,18.9090000251101,18.9090000251101,-3.3301235739996153,-3.3301235739996153,-3.3301235739996153,-7.08576303451584,-7.08576303451584,-7.08576303451584,-0.19131047962037726,-0.19131047962037726,-0.19131047962037726,0.160458437084541,0.160458437084541,0.160458437084541,3.786491503052062,3.786491503052062,3.786491503052062,0.0,0.0,0.0,15.578876451110485
1981-01-08,18.907241174011656,12.20291283835345,19.305239567724367,18.907241174011656,18.907241174011656,-3.2662514944715273,-3.2662514944715273,-3.2662514944715273,-7.08576303451584,-7.08576303451584,-7.08576303451584,-0.02689804272942575,-0.02689804272942575,-0.02689804272942575,0.007346495832756178,0.007346495832756178,0.007346495832756178,3.8390630869409827,3.8390630869409827,3.8390630869409827,0.0,0.0,0.0,15.640989679540128
1981-01-09,18.90548232291321,12.451971782185579,19.358657058868502,18.90548232291321,18.90548232291321,-3.034829943517997,-3.034829943517997,-3.034829943517997,-7.08576303451584,-7.08576303451584,-7.08576303451584,0.18460460027466633,0.18460460027466633,0.18460460027466633,-0.01820743553310927,-0.01820743553310927,-0.01820743553310927,3.884535926256286,3.884535926256286,3.884535926256286,0.0,0.0,0.0,15.870652379395212
1981-01-10,18.903723471814764,12.461890928509376,19.233044509852167,18.903723471814764,18.903723471814764,-2.951452470595397,-2.951452470595397,-2.951452470595397,-7.08576303451584,-7.08576303451584,-7.08576303451584,0.26994646245323034,0.26994646245323034,0.26994646245323034,-0.0580046112384283,-0.0580046112384283,-0.0580046112384283,3.9223687127056417,3.9223687127056417,3.9223687127056417,0.0,0.0,0.0,15.952271001219367
1981-01-11,18.901964620716317,12.255252320325871,19.39599064704497,18.901964620716317,18.901964620716317,-3.127439092594845,-3.127439092594845,-3.127439092594845,-7.08576303451584,-7.08576303451584,-7.08576303451584,0.16287622471061283,0.16287622471061283,0.16287622471061283,-0.15676295051015735,-0.15676295051015735,-0.15676295051015735,3.95221066772054,3.95221066772054,3.95221066772054,0.0,0.0,0.0,15.774525528121472
1981-01-12,18.900205769617873,12.332569082679951,19.18207293660547,18.900205769617873,18.900205769617873,-3.165424173501907,-3.165424173501907,-3.165424173501907,-7.08576303451584,-7.08576303451584,-7.08576303451584,-0.04470378340100726,-0.04470378340100726,-0.04470378340100726,-0.008870238139280447,-0.008870238139280447,-0.008870238139280447,3.973912882554221,3.973912882554221,3.973912882554221,0.0,0.0,0.0,15.734781596115965
1981-01-13,18.898446918519426,12.13550389481885,19.27108506029796,18.898446918519426,18.898446918519426,-3.221297718975974,-3.221297718975974,-3.221297718975974,-7.08576303451584,-7.08576303451584,-7.08576303451584,-0.1971090848816982,-0.1971090848816982,-0.1971090848816982,0.07404030250375956,0.07404030250375956,0.07404030250375956,3.9875340979178033,3.9875340979178033,3.9875340979178033,0.0,0.0,0.0,15.677149199543452
1981-01-14,18.896688067420982,12.394082282348222,19.118786632775908,18.896688067420982,18.896688067420982,-3.151571644773946,-3.151571644773946,-3.151571644773946,-7.08576303451584,-7.08576303451584,-7.08576303451584,-0.21960777990143943,-0.21960777990143943,-0.21960777990143943,0.16045843708452712,0.16045843708452712,0.16045843708452712,3.9933407325588064,3.9933407325588064,3.9933407325588064,0.0,0.0,0.0,15.745116422647037
1981-01-15,18.894929216322534,12.384476234350549,19.123841798553638,18.894929216322534,18.894929216322534,-3.2614701527790113,-3.2614701527790113,-3.2614701527790113,-7.08576303451584,-7.08576303451584,-7.08576303451584,-0.1748547450751373,-0.1748547450751373,-0.1748547450751373,0.007346495832712938,0.007346495832712938,0.007346495832712938,3.9918011309792534,3.9918011309792534,3.9918011309792534,0.0,0.0,0.0,15.633459063543523
